page_id,page_name,disclaimer,amount_spent_pen,number_of_ads
389976681048925,ECMIA,Enlace Continental de Mujeres Indígenas de las Américas,4725,12
346354539205278,Abel Bolaños - Victoria Nacional Tacna,Margarita Victoria Herrera Bendezu,4725,167
112105850263842,Carlos Anderson,Maria Alejandra Palacios Zavaleta,4701,31
761235197258266,Luiz Carlos Reátegui - Frente Esperanza Jesús María 2022,Luiz Carlos Reátegui del Águila,4675,24
102533848285908,Veronica Escobal Ordóñez,Veronia Rebeca Escobal Orodñez,4662,117
456858074508608,Jheydi Quiroz Palacios,Jheydi Quiroz,4641,37
382057815556578,Chino Martínez,Chino Martinez - Parcona,4598,34
101876155342702,Asociaciones de Marketing y Publicidad,These ads ran without a disclaimer,4566,1
110736538245244,Joaquín Alcalde De Cajamarca,Jesus Moya Cerquin,4532,15
103632004923753,Leo Salluca,Leo Salluca,4520,40
524687577593259,Alejandro Narváez Liceras,Juan Carlos Tarazona Cabello,4519,26
107507580716294,Leslye Lazo,These ads ran without a disclaimer,4517,4
100356711460057,Richar Bacon,Richar Eli Bacon Terrones,4509,28
925099280862495,Joel Parimango,Joel Ronal Parimango Alvarez,4508,63
100265355096831,Imperio: Rising Civilization,These ads ran without a disclaimer,4497,13
103871541689984,Edilberto Salazar Arequipa,Jhon Jheiman Torres Cahua,4491,28
108231127791397,Edson Flores,Edson Ramon Flores Castillo,4480,31
100257651988705,MediFast L&M,MediFastL&M,4477,159
1413556535603177,Raúl Díaz Pérez,Raúl Diaz Pérez,4461,61
1433417963605140,"Fabiola Morales Castillo, NARRA Y OPINA",Fabiola Morales Honestidad,4442,8
233943790279421,Jaime Salomón,Jaime Salomon,4425,37
100567791707545,Dr Omar Cuadros,Omar Tito Cuadros Iparraguirre,4393,37
59764099683,ESAN Graduate School of Business,Grupo P - INDEX,4307,34
104646350985692,Peter Jaime,Peter Omar Jaime Cori,4295,40
197915158409,Amnistía Internacional Perú,These ads ran without a disclaimer,4231,2
1165330606976450,Eduardo Azabache,Mauricio Renato Huaman Huaman,4227,58
1650216218535063,Oceana Perú,Oceana Perú,4225,71
433251497093145,Dina Calle,Sheila Llanos Veliz,4178,7
104889224894359,Katherine Ampuero,Katherine Ampuero,4167,16
106854614088402,Pepe Luna Morales,Jhonatan Alfredo Flores Cuya,4161,1
1691960551107938,Dra Arcelia Rojas Salazar,Dra Arcelia Rojas,4159,23
